entry_time,exit_time,direction,volume,pnl,reason
2025-07-06T22:30:00+00:00,2025-07-07T00:00:00+00:00,-1,0.0003,0.2747169640935093,target
2025-07-07T00:15:00+00:00,2025-07-07T01:00:00+00:00,-1,0.0002,0.19853914654615765,target
2025-07-07T01:15:00+00:00,2025-07-07T01:30:00+00:00,-1,0.0002,-0.1325516649899113,stop
2025-07-07T01:45:00+00:00,2025-07-07T03:15:00+00:00,-1,0.0001,0.033693471152161515,stop
2025-07-07T03:30:00+00:00,2025-07-07T05:00:00+00:00,-1,0.0002,0.06842722898520479,stop
2025-07-07T05:15:00+00:00,2025-07-07T08:15:00+00:00,-1,0.0002,0.06484848204918635,stop
2025-07-08T14:15:00+00:00,2025-07-08T15:00:00+00:00,-1,0.0001,0.1541343453949201,target
2025-07-08T15:15:00+00:00,2025-07-08T15:45:00+00:00,-1,0.0001,-0.0917344934249315,stop
2025-07-08T19:15:00+00:00,2025-07-08T22:00:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-07-09T01:15:00+00:00,2025-07-09T02:45:00+00:00,-1,0.0002,0.2163634968664006,target
2025-07-09T03:00:00+00:00,2025-07-09T04:00:00+00:00,-1,0.0002,-0.13599020868588596,stop
2025-07-09T04:15:00+00:00,2025-07-09T06:45:00+00:00,-1,0.0001,0.03162695995047379,stop
2025-07-09T07:00:00+00:00,2025-07-09T10:00:00+00:00,-1,0.0002,-0.0033999999999981814,stop
2025-07-09T10:15:00+00:00,2025-07-09T10:30:00+00:00,-1,0.0001,-0.0595482883681354,stop
2025-07-13T22:30:00+00:00,2025-07-14T01:00:00+00:00,1,0.0002,-0.1330268308267445,stop
2025-07-14T02:30:00+00:00,2025-07-14T07:15:00+00:00,1,0.0001,0.13307464147086812,target
2025-07-14T07:30:00+00:00,2025-07-14T08:15:00+00:00,1,0.0002,-0.13640078228874375,stop
2025-07-14T08:30:00+00:00,2025-07-14T11:45:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-07-15T01:15:00+00:00,2025-07-15T03:30:00+00:00,1,0.0003,0.221970177300282,target
2025-07-15T03:45:00+00:00,2025-07-15T05:45:00+00:00,1,0.0003,0.13391154849148315,stop
2025-07-15T06:00:00+00:00,2025-07-15T06:30:00+00:00,1,0.0003,-0.12680855280153044,stop
2025-07-15T06:45:00+00:00,2025-07-15T08:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-07-18T09:00:00+00:00,2025-07-18T10:00:00+00:00,1,0.0003,0.06379971179673284,stop
2025-07-18T10:15:00+00:00,2025-07-18T12:15:00+00:00,1,0.0002,0.10047179997024942,stop
2025-07-18T12:30:00+00:00,2025-07-18T13:00:00+00:00,1,0.0002,-0.0033999999999981814,stop
2025-07-18T13:15:00+00:00,2025-07-18T13:30:00+00:00,1,0.0001,-0.05230138096236096,stop
2025-07-21T01:45:00+00:00,2025-07-21T02:30:00+00:00,1,0.0003,-0.12192731430096009,stop
2025-07-21T02:45:00+00:00,2025-07-21T03:30:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-07-21T22:30:00+00:00,2025-07-21T23:30:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-07-22T00:00:00+00:00,2025-07-22T00:00:00+00:00,1,0.0003,-0.13217108655955107,stop
2025-07-22T00:30:00+00:00,2025-07-22T01:00:00+00:00,1,0.0001,-0.04911259120504219,stop
2025-07-23T00:15:00+00:00,2025-07-23T01:00:00+00:00,1,0.0002,-0.10247587258427884,stop
2025-07-23T03:15:00+00:00,2025-07-23T03:45:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-07-28T13:00:00+00:00,2025-07-28T13:45:00+00:00,-1,0.0002,0.2216230453965487,target
2025-07-28T14:00:00+00:00,2025-07-28T14:15:00+00:00,-1,0.0001,-0.07879241435580589,stop
2025-07-28T16:45:00+00:00,2025-07-28T18:15:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-07-29T00:00:00+00:00,2025-07-29T00:45:00+00:00,-1,0.0003,-0.005099999999997272,stop
2025-07-29T01:00:00+00:00,2025-07-29T01:30:00+00:00,-1,0.0001,-0.049196911631878,stop
2025-07-30T10:45:00+00:00,2025-07-30T11:45:00+00:00,-1,0.0002,-0.0033999999999981814,stop
2025-07-30T13:15:00+00:00,2025-07-30T15:15:00+00:00,-1,0.0001,0.14398833161452493,target
2025-07-30T15:30:00+00:00,2025-07-30T17:45:00+00:00,-1,0.0001,-0.08608688326860212,stop
2025-07-30T18:00:00+00:00,2025-07-30T18:45:00+00:00,-1,0.0001,0.12922023406174213,target
2025-07-30T19:00:00+00:00,2025-07-30T20:45:00+00:00,-1,0.0001,0.03992949880933502,stop
2025-07-31T00:15:00+00:00,2025-07-31T01:15:00+00:00,-1,0.0002,-0.14010972931920734,stop
2025-07-31T01:30:00+00:00,2025-07-31T01:45:00+00:00,-1,0.0001,-0.06797250916481809,stop
2025-08-01T00:00:00+00:00,2025-08-01T00:30:00+00:00,-1,0.0003,-0.1466192245030739,stop
2025-08-01T01:00:00+00:00,2025-08-01T02:00:00+00:00,-1,0.0001,0.023400484307896298,stop
2025-08-01T02:15:00+00:00,2025-08-01T03:00:00+00:00,-1,0.0002,-0.12673848785201372,stop
2025-08-01T03:45:00+00:00,2025-08-01T05:45:00+00:00,-1,0.0001,-0.06150136843429045,stop
2025-08-05T05:30:00+00:00,2025-08-05T06:00:00+00:00,1,0.0003,0.05000109885184465,stop
2025-08-05T07:30:00+00:00,2025-08-05T08:30:00+00:00,1,0.0003,-0.14514183409271897,stop
2025-08-05T10:45:00+00:00,2025-08-05T11:00:00+00:00,1,0.0001,-0.05373898231686617,stop
2025-08-06T13:00:00+00:00,2025-08-06T14:45:00+00:00,1,0.0002,0.22531348666359335,target
2025-08-07T07:30:00+00:00,2025-08-07T08:00:00+00:00,1,0.0002,-0.0033999999999981814,stop
2025-08-07T08:15:00+00:00,2025-08-07T08:15:00+00:00,1,0.0001,-0.07192193512018386,stop
2025-08-08T00:00:00+00:00,2025-08-08T00:15:00+00:00,1,0.0001,-0.09304811629827164,stop
2025-08-14T01:00:00+00:00,2025-08-14T01:15:00+00:00,1,0.0003,-0.13840501586786066,stop
2025-08-14T01:30:00+00:00,2025-08-14T02:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-08-15T00:15:00+00:00,2025-08-15T00:45:00+00:00,-1,0.0003,-0.12684449729632397,stop
2025-08-15T01:30:00+00:00,2025-08-15T02:45:00+00:00,-1,0.0001,-0.043196561672369356,stop
2025-08-17T23:30:00+00:00,2025-08-18T00:00:00+00:00,-1,0.0003,-0.005099999999997272,stop
2025-08-18T00:15:00+00:00,2025-08-18T00:15:00+00:00,-1,0.0001,-0.04743627332882916,stop
2025-08-18T19:45:00+00:00,2025-08-18T23:00:00+00:00,-1,0.0001,-0.03689097859541853,stop
2025-08-18T23:30:00+00:00,2025-08-19T00:00:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-08-19T01:00:00+00:00,2025-08-19T01:15:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-08-19T22:45:00+00:00,2025-08-20T00:45:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-08-20T01:15:00+00:00,2025-08-20T01:30:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-08-22T05:00:00+00:00,2025-08-22T05:45:00+00:00,-1,0.0004,-0.13231381174176277,stop
2025-08-22T06:00:00+00:00,2025-08-22T06:45:00+00:00,-1,0.0002,0.027853575054381147,stop
2025-08-22T07:00:00+00:00,2025-08-22T07:00:00+00:00,-1,0.0004,-0.1443843879766908,stop
2025-08-22T07:45:00+00:00,2025-08-22T11:45:00+00:00,-1,0.0001,-0.014049999999995816,time_exit
2025-08-26T00:15:00+00:00,2025-08-26T00:30:00+00:00,1,0.0002,0.22148818581926535,target
2025-08-26T00:45:00+00:00,2025-08-26T01:00:00+00:00,1,0.0002,-0.13504516174350686,stop
2025-08-26T01:15:00+00:00,2025-08-26T05:15:00+00:00,1,0.0001,-0.02939999999999891,time_exit
2025-08-26T23:15:00+00:00,2025-08-27T01:00:00+00:00,1,0.0001,-0.036874811380524265,stop
2025-08-27T02:00:00+00:00,2025-08-27T02:30:00+00:00,1,0.0001,-0.03967102385129074,stop
2025-08-27T23:00:00+00:00,2025-08-27T23:45:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-08-28T00:30:00+00:00,2025-08-28T00:45:00+00:00,1,0.0003,-0.005099999999997272,stop
2025-08-28T02:15:00+00:00,2025-08-28T04:00:00+00:00,1,0.0001,0.019919931319060925,stop
2025-08-28T04:15:00+00:00,2025-08-28T07:15:00+00:00,1,0.0003,0.13221142638521124,stop
2025-08-28T07:45:00+00:00,2025-08-28T10:00:00+00:00,1,0.0003,0.054683833882154795,stop
2025-08-28T10:15:00+00:00,2025-08-28T11:15:00+00:00,1,0.0003,0.24494509604078793,target
2025-08-29T00:15:00+00:00,2025-08-29T00:15:00+00:00,1,0.0004,-0.13080524188178316,stop
2025-08-29T02:15:00+00:00,2025-08-29T04:00:00+00:00,1,0.0002,-0.07413059913502948,stop
2025-08-31T22:15:00+00:00,2025-08-31T23:30:00+00:00,1,0.0002,-0.0033999999999981814,stop
2025-08-31T23:45:00+00:00,2025-09-01T00:00:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-09-01T00:30:00+00:00,2025-09-01T01:00:00+00:00,1,0.0001,-0.05524029671718672,stop
